"TI";"AU";"AB";"TC";"UT";"PY";"topic";"p";"n"
"Important Roles of Enthalpic and Entropic Contributions to CO2 Capture
   from Simulated Flue Gas and Ambient Air Using Mesoporous Silica Grafted
   Amines";"Alkhabbaz, MA
   Bollini, P
   Foo, GS
   Sievers, C
   Jones, CW";"The measurement of isosteric heats of adsorption of silica supported amine materials in the low pressure range (0-0.1 bar) is critical for understanding the interactions between CO2 and amine sites at low coverage and hence to the development of efficient amine adsorbents for CO2 capture from flue gas and ambient air. Heats of adsorption for an array of silica-supported amine materials are experimentally measured at low coverage using a Calvet calorimeter equipped with a customized dosing manifold. In a series of 3-aminopropyl-functionalized silica materials, higher amine densities resulted in higher isosteric heats of adsorption, clearly showing that the density/proximity of amine sites can influence the amine efficiency of adsorbents. In a series of materials with fixed amine loading but different amine types, strongly basic primary and secondary amine materials are shown to have essentially identical heats of adsorption near 90 kJ/mol. However, the adsorption uptakes vary substantially as a function of CO2 partial pressure for different primary and secondary amines, demonstrating that entropic contributions to adsorption may play a key role in adsorption at secondary amine sites, making adsorption at these sites less efficient at the low coverages that are important to the direct capture of CO2 from ambient air. Thus, while primary amines are confirmed to be the most effective amine types for CO2 capture from ambient air, this is not due to enhanced enthalpic contributions associated with primary amines over secondary amines, but may be due to unfavorable entropic factors associated with organization of the second alkyl chain on the secondary amine during CO2 adsorption. Given this hypothesis, favorable entropic factors may be the main reason primary amine based adsorbents are more effective under air capture conditions.";"34";"WOS:000342328200025";2014;"captur, air, adsorpt, materi, adsorb";0.972714477959309;196
"Impacts of biochar concentration and particle size on hydraulic
   conductivity and DOC leaching of biochar-sand mixtures";"Liu, ZL
   Dugan, B
   Masiello, CA
   Barnes, RT
   Gallagher, ME
   Gonnermann, H";"The amendment of soil with biochar can sequester carbon and alter hydrologic properties by changing physical and chemical characteristics of soil. To understand the effect of biochar amendment on soil hydrology, we measured the hydraulic conductivity (K) of biochar-sand mixtures as well as dissolved organic carbon (DOC) in leachate. Specifically, we assessed the effects of biochar concentration and particle size on K and amount of DOC in the soil leachate. To better understand how physical properties influenced K, we also measured the skeletal density of biochars and sand, and the bulk density, the water saturation, and the porosity of biochar-sand mixtures. Our model soil was sand (0.251-0.853 mm) with biochar rates from 2 to 10 wt% (g biochar/g total soil x 100%). As biochar (<0.853 mm) concentration increased from 0 to 10 wt%, K decreased by 72 +/- 3%.
   When biochar particle size was equal to, greater than, and less than particle size of sand, we found that biochar in different particle sizes have different effects on K. For a 2 wt% biochar rate, K decreased by 72 +/- 2% when biochar particles were finer than sand particles, and decreased by 15 +/- 2% when biochar particles were coarser than sand particles. When biochar and sand particle size were comparable, we observed no significant effect on K. We propose that the decrease of K through the addition of fine biochar was because finer biochar particles filled spaces between sand particles, which increased tortuosity and reduced pore throat size of the mixture. The decrease of K associated with coarser biochar was caused by the bimodal particle size distribution, resulting in more compact packing and increased tortuosity.
   The loss of biochar C as DOC was related to both biochar rate and particle size. The cumulative DOC loss was 1350% higher from 10 wt% biochar compared to pure sand. This large increase reflected the very small DOC yield from pure sand. In addition, DOC in the leachate decreased as biochar particle size increased. For all treatments, the fraction of carbon lost as DOC ranged from 0.06 to 0.18 wt% of biochar. These experiments suggest that mixing sandy soils with biochar is likely to reduce infiltration rates, holding water near the surface longer with little loss of biochar-derived carbon to groundwater and streams. (C) 2015 Elsevier B.V. All rights reserved.";"1";"WOS:000370086200039";2016;"biochar, amend, pyrolysi, feedstock, incub";0.97051057430174;360
"Potassium incorporated alumina based CO2 capture sorbents: Comparison
   with supported amine sorbents under ultra-dilute capture conditions";"Bali, S
   Sakwa-Novak, MA
   Jones, CW";"Amines supported on silica or alumina supports are among the most well-studied sorbents for CO2 capture from ultra-dilute sources, such as ambient air. Another class of sorbents that may also bind CO2 strongly enough to function well under ultra-dilute conditions are supported alkali metal based compositions. In this work, the synthesis of alumina-supported potassium (AlK) via calcination of impregnated potassium acetate is described and the resulting materials are evaluated for CO2 capture under ultra-dilute conditions (1% CO2), including under simulated air capture conditions (400 ppm CO2). The sorbents are evaluated at different adsorption and regeneration temperatures alongside two benchmark alumina-supported amine sorbents. The potassium-alumina sorbents are found to adsorb more CO2 than the amine benchmark sorbent at the tested 1% CO2 conditions, whereas the amine sorbent yielded a higher uptake under simulated air capture conditions of 400 ppm. Abbreviated adsorption isotherms are measured for the potassium-alumina sorbents at three temperatures, the isotherms are fit to a single site Toth adsorption model, and the assembled data are utilized to estimate the heat of adsorption using the Clausius-Clapeyron equation. The isosteric heat of adsorption for the potassium based sorbent is higher than those estimated and measured for amine based sorbents, which is consistent with the higher regeneration temperature required by the potassium based sorbents. Potassium-alumina sorbents may be useful adsorbents for ultra-dilute conditions due to their stability in oxygen relative to amine sorbents if plentiful heat is available for the significant temperature swings needed to effectively cycle the sorbents. (C) 2015 Elsevier B.V. All rights reserved.";"3";"WOS:000363961500011";2015;"captur, air, adsorpt, materi, adsorb";0.968475243507152;196
"Amine hybrid aerogel for high-efficiency CO2 capture: Effect of amine
   loading and CO2 concentration";"Kong, Y
   Jiang, GD
   Wu, Y
   Cui, S
   Shen, XD";"The objective of this research was to develop a high-performance CO2 adsorbent by a simple, cost-effective and environmental-friendly route based on amine hybrid aerogel. A new amine hybrid titania/silsesquioxane composite aerogel (AHTSA) was prepared by a one-pot sol-gel process followed by supercritical drying (SCD). The wet gel was obtained by orderly mixing all the reactants in a container without adding any catalyst. SCD was conducted without contaminant emission. Effects of amine loading and CO2 concentration on pores structure and CO2 adsorption performance of AHTSA were investigated. Higher amine loading leads to lower specific surface area and mesopore volume of AHTSA, due to the increase of large pores and diminishment of mesopores when increasing the amine loading. Resulting from the sharp decrease of the surface area, overdosing of the amine precursor negatively affects the surface amine content of AHTSA and thus reduces its CO2 adsorption capacity. High CO2 concentration favors the CO2 adsorption capacity and rate as concentrated CO2 favors the CO2 diffusion in the pore space of the adsorbent, enhances the interaction between CO2 and surface amine groups. The dry CO2 adsorption capacity of AHTSA increases from 1.64, 4.19 to 6.66 mmol/g when the CO2 concentration of the mixture gas varies from 400 ppm (air), 1% to 10%. Short adsorption halftime and high amine efficiency of AHTSA with different CO2 concentrations reveal that AHTSA is a dynamic and effective adsorbent for CO2 capture, even direct air capture. (C) 2016 Elsevier B.V. All rights reserved.";"2";"WOS:000386420700041";2016;"captur, air, adsorpt, materi, adsorb";0.956444397500283;196
"Polyethylenimine-Impregnated Resin for High CO2 Adsorption: An Efficient
   Adsorbent for CO2 Capture from Simulated Flue Gas and Ambient Air";"Chen, ZH
   Deng, SB
   Wei, HR
   Wang, B
   Huang, J
   Yu, G";"Polyethylenimine (PEI)-impregnated resins with high CO2 adsorption capacity were successfully prepared loading to achieve high CO2 adsorption, and the optimal PEI in this study. The nonpolar resin HP20 was suitable for PEI loading was 50 wt %. On the basis of the pore size distribution of the resin before and after PEI modification, it can be found that mesopores of <43 nm were mainly responsible for PEI loading and pores in the range of 43-68 nm were probably favorable for CO2 diffusion. The adsorbed amount of CO2 on HP20/PEI-50 decreased with increasing adsorption temperature because of the dominant role of exothermic reaction of CO2 adsorption. The adsorption of CO2 on the adsorbent was very fast, and sorption equilibrium was achieved within 6 min at 75 degrees C. HP20/PEI-50 almost kept a stable adsorption capacity for CO2 at concentrations of 15 vol % and 400 ppm in the consecutive adsorption-desorption cycles, and its adsorption capacity was 181 mg/g from pure CO2 and 99.3 mg/g from 400 ppm CO2 at 25 degrees C, higher than all PEI-modified materials reported. The high volume-based amount of CO2 adsorbed on HP20/PEI-50 (96.0 mg/cm(3) at 25 degrees C and 84.5 mg/cm(3) at 75 degrees C for pure CO2) is beneficial to reducing the required volume of the adsorption bed for CO2 capture. This spherical and stable HP20/PEI-50 adsorbent with high and fast CO2 adsorption exhibits a very promising application in CO2 capture from flue gas and ambient air.";"43";"WOS:000323241100025";2013;"captur, air, adsorpt, materi, adsorb";0.956444118138319;196
"Adsorption Capacity of Carbon Dioxide on Amine Modified Mesoporous
   Materials with Larger Pore Sizes";"Zhao, HM
   Lin, D
   Yang, G
   Chun, Y
   Xu, QH";"Mesoporous silica SBA-15-like materials with large pores were synthesized using tri-block copolymer P123 as a structure-directing agent, tetramethoxysilane as the silicon source, and different organic solvents as swelling agents. The resulting materials were characterized by powder X-ray diffraction (XRD), N-2 adsorption-desorption, scanning electron microscopy (SEM), and Fourier transform infrared (FTIR) spectroscopy. The results showed that the introduction of swelling agents effectively enlarged the pore diameter and pore volume of the SBA-15 materials, and pore swelling with isooctane was larger than that with CCl4. When modified with tetraethylenepentamine (TEPA), all of these composite materials exhibited excellent adsorption capacities for CO2. The adsorption capacity of CO2 was independent of the pore structure, if the template was removed before modification with TEPA. By contrast, the adsorption capacity increased with the pore diameter when the as-synthesized mesoporous material was modified with TEPA. The effects of temperature and pressure on the CO2 adsorption capacity were investigated using adsorption isotherms and CO2 temperature-programmed desorption (TPD). With CO2 adsorption at higher temperature, the composite materials showed different adsorption capacities with pressure variation. As a result, the adsorption and separation of CO2 on these TEPA modified mesoporous materials in ambient air flow can be realized via pressure swing adsorption.";"6";"WOS:000302764400037";2012;"captur, air, adsorpt, materi, adsorb";0.955381265435449;196
"Amine-Oxide Hybrid Materials for CO2 Capture from Ambient Air";"Didas, SA
   Choi, S
   Chaikittisilp, W
   Jones, CW";"CONSPECTUS: Oxide supports functionalized with amine moieties have been used for decades as catalysts and chromatographic media. Owing to the recognized impact of atmospheric CO2 on global climate change, the study of the use of amine-oxide hybrid materials as CO2 sorbents has exploded in the past decade. While the majority of the work has concerned separation of CO2 from dilute mixtures such as flue gas from coal-fired power plants, it has been recognized by us and others that such supported amine materials are also perhaps uniquely suited to extract CO2 from ultradilute gas mixtures, such as ambient air. As unique, low temperature chemisorbents, they can operate under ambient conditions, spontaneously extracting CO2 from ambient air, while being regenerated under mild conditions using heat or the combination of heat and vacuum.
   This Account describes the evolution of our activities on the design of amine-functionalized silica materials for catalysis to the design, characterization, and utilization of these materials in CO2 separations. New materials developed in our laboratory, such as hyperbranched aminosilica materials, and previously known amine-oxide hybrid compositions, have been extensively studied for CO2 extraction from simulated ambient air (400 ppm of CO2). The role of amine type and structure (molecular, polymeric), support type and structure, the stability of the various compositions under simulated operating conditions, and the nature of the adsorbed CO2 have been investigated in detail. The requirements for an effective, practical air capture process have been outlined and the ability of amine oxide hybrid materials to meet these needs has been discussed. Ultimately, the practicality of such a \"direct air capture\" process is predicated not only on the physicochemical properties of the sorbent, but also how the sorbent operates in a practical process that offers a scalable gas solid contacting strategy. In this regard, the utility of low pressure drop monolith contactors is suggested to offer a practical mode of amine sorbent/air contacting for direct air capture.";"10";"WOS:000363347900005";2015;"captur, air, adsorpt, materi, adsorb";0.950682816524226;196
"Soil organic carbon and total nitrogen storage as affected by land use
   in a small watershed of the Loess Plateau, China";"Zhang, C
   Liu, GB
   Xue, S
   Sun, CL";"Soil organic carbon (SOC) is an important component of agricultural soil. Understanding the storage of carbon (C) and nitrogen (N) helps us understand how ecosystems would respond to natural and anthropogenic disturbances under different management strategies. Although the quantity of SOC stocks in the Loess Plateau has been previously investigated, the distribution and storage of C in its deep soil layers has been poorly studied to date. The present study was conducted in the Zhifanggou Watershed on the Loess Plateau to evaluate the effect of the types of land use on the distribution and storage of SOC and total nitrogen (TN) at different soil depths. Ten types of land use were investigated: woodland (Robinia pseudoacacia), shrubland (Caragana korshinskii; Hippophae rhamnoides), natural grassland, artificial grassland (Medicago sativa), orchard, check-dam cropland, terraced cropland (Setaria italica; Zea mays), and sloped cropland. The results show that land use significantly affects the SOC and TN content. The reconversion of sloped croplands into forestlands and grasslands improve their SOC and TN content. Natural grassland, terraced cropland with Z. mays, and the artificial grassland had the highest SOC content within 0-60 cm, 60-100 cm, and 150-500 cm layers, respectively. The SOC and TN content in the top layer were higher than those in the deep layer. Natural grassland had the highest SOC and TN storage within 0-40 cm layer, followed by shrubland I (C. korshinskii), check-dam cropland, woodland, and shrubland II (H. rhamnoides), orchard and artificial grassland, whereas the sloped cropland, and the terraced cropland with S. italica had the lowest values. The SOC and TN storage between the top (0 -20 cm) and deep layers (0-100 cm, 0-300 cm, and 0-500 cm) can be modeled using linear function (y = ax + b). The results suggest that natural grasslands may be the optimal choice for SOC and TN sequestration in the Zhifanggou Watershed. Shrublands, woodland, artificial grasslands, orchards, terrace cropland with Z. mays and check-dam croplands are also recommended for their great contribution to SOC and TN storage in the area. (C) 2012 Elsevier Masson SAS. All rights reserved.";"32";"WOS:000313540600003";2013;"soc, grassland, stock, cropland, china";0.94660223492797;257
"Changes in primary productivity and chlorophyll a in response to iron
   fertilization in the Southern Polar Frontal Zone";"Gervais, F
   Riebesell, U
   Gorbunov, MY";"EisenEx-the second in situ iron enrichment experiment in the Southern Ocean-was performed in the Atlantic sector over 3 weeks in November 2000 with the overarching goal to test the hypothesis that primary productivity in the Southern Ocean is limited by iron availability in the austral spring. Underwater irradiance, chlorophyll a (Chl a), photochemical efficiency, and primary productivity were measured inside and outside of an iron-enriched patch in order to quantify the response of phytoplankton to iron fertilization. Chl a concentration and photosynthetic rate (C-14 uptake in simulated in situ incubations) were measured in pico-, nano-, and microphytoplankton. Photochemical efficiency was studied with fast repetition rate fluorometry and xenon-pulse amplitude modulated fluorometry. The high-nutrient low-chlorophyll waters outside the Fe-enriched patch were characterized by deep euphotic zones (63-72 m), low Chl a (48-56 mg m(-2)), low photosynthetic efficiency (F-v/F-m approximate to 0.3), and low daily primary productivity (130-220 mg C m(-2) d(-1)). Between 70 and 90% of Chl a was found in pico- and nanophytoplankton. During the induced bloom, F-v/F-m increased up to similar to0.55, primary productivity and Chl a reached the maximum values of 790 mg C m(-2) d(-1) and 231 mg Chl a m(-2), respectively. As a consequence, the euphotic depth decreased to similar to41 m. Picophytoplankton biomass hardly changed. Nano- and microphytoplankton biomass increased. In the first 2 weeks of the experiment, when the depth of the upper mixed layer was mostly <40 m, primary productivity was highly correlated with Chl a. In the third week, productivity was much lower than predicted from Chl a, probably because of a reduction in photosynthetic capacity as a consequence of increased physical variability in the upper water column. These results provide unequivocal evidence that iron supply is the central factor controlling phytoplankton primary productivity in the Southern Ocean, even if the mixing depth is >80 m.";"168";"WOS:000178081800005";2002;"ocean, iron, weather, releas, day";0.942800394238283;141
"Application of Polyethylenimine-Impregnated Solid Adsorbents for Direct
   Capture of Low-Concentration CO2";"Wang, JT
   Wang, M
   Li, WC
   Qiao, WM
   Long, DH
   Ling, LC";"A systematic study of CO2 capture on the amine-impregnated solid adsorbents is carried out at CO2 concentrations in the range of 400-5000 ppm, relating to the direct CO2 capture from atmospheric air. The commercially available polymethacrylate-based HP2MGL and polyethylenimine are screened to be the suitable support and amine, respectively, for preparation of the adsorbent. The adsorbents exhibit an excellent saturation adsorption capacity of 1.96 mmol/g for 400 ppm CO2 and 2.13 mmol/g for 5000 ppm CO2. Moisture plays a promoting effect on CO2 adsorption but depends on the relative humidity. The presence of O-2 would lead to the decrease of adsorption capacity but do not affect the cyclic performance. The diffusion additive is efficient to improve the adsorption capacity and cyclic performance. Moreover, the adsorbents can be easily regenerated under a mild temperature. This study may have a positive impact on the design of high-performance adsorbents for CO2 capture from ambient air. (c) 2014 American Institute of Chemical Engineers AIChE J, 61: 972-980, 2015";"10";"WOS:000349915000020";2015;"captur, air, adsorpt, materi, adsorb";0.940954380227859;196
